Keyword,MatchType,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CPC,CVR%,Category
"asin=""B0822GYVNX""",TARGETING_EXPRESSION,11230,260,1978.78,39750.43,13,4.98,7.61,5.0,TOP PERFORMER
"category=""22691714031"" brand=""83162061031""",TARGETING_EXPRESSION,47411,326,1961.03,19287.62,10,10.17,6.02,3.07,TOP PERFORMER
"asin=""B0CDH4X4DD""",TARGETING_EXPRESSION,18840,294,1812.54,6236.18,4,29.06,6.17,1.36,MONITOR
"asin=""B07QRQZK1G""",TARGETING_EXPRESSION,17181,139,1751.04,1945.71,5,89.99,12.6,3.6,CUT BID 40%
play mat,EXACT,20178,230,1717.86,4261.9,5,40.31,7.47,2.17,MONITOR
storage bags for clothes,EXACT,15770,113,1657.05,5501.9,9,30.12,14.66,7.96,MONITOR
"asin=""B0DBDWG8K4""",TARGETING_EXPRESSION,13492,114,1653.12,2357.15,5,70.13,14.5,4.39,CUT BID 40%
play mat,PHRASE,22139,265,1630.75,10228.56,11,15.94,6.15,4.15,TOP PERFORMER
"asin=""B0831486NM""",TARGETING_EXPRESSION,17878,195,1582.86,1563.57,5,101.23,8.12,2.56,CUT BID 40%
play mat for babies 0 to 12 months,PHRASE,16393,221,1406.81,10134.65,12,13.88,6.37,5.43,TOP PERFORMER
"category=""22691714031"" brand=""19565296031""",TARGETING_EXPRESSION,35062,225,1353.08,33175.23,15,4.08,6.01,6.67,TOP PERFORMER
storage bag,PHRASE,9445,89,1326.67,5933.32,11,22.36,14.91,12.36,TOP PERFORMER
interlocking floor mats,EXACT,31499,235,1235.49,11780.95,4,10.49,5.26,1.7,TOP PERFORMER
storage bag,EXACT,11772,83,1229.37,5527.0,11,22.24,14.81,13.25,TOP PERFORMER
mat for kids,EXACT,15260,145,1222.72,1703.81,1,71.76,8.43,0.69,CUT BID 40%
plastic sheet for kitchen shelves,EXACT,18912,62,1195.34,227.97,1,524.34,19.28,1.61,CUT BID 40%
kitchen sheets for shelves,BROAD,9447,82,1179.24,2866.95,5,41.13,14.38,6.1,MONITOR
kids mat,EXACT,16785,136,1176.08,11049.53,4,10.64,8.65,2.94,TOP PERFORMER
floor mat for kids,EXACT,14301,142,1153.26,1597.14,1,72.21,8.12,0.7,CUT BID 40%
gym floor mat rubber,EXACT,32151,207,1149.5,9297.14,3,12.36,5.55,1.45,TOP PERFORMER
"asin=""B09SJ6VDN4""",TARGETING_EXPRESSION,12855,146,1050.7,9580.95,5,10.97,7.2,3.42,TOP PERFORMER
"asin=""B078X7KLTH""",TARGETING_EXPRESSION,13840,84,977.71,2371.21,5,41.23,11.64,5.95,MONITOR
kitchen cabinet sheets,BROAD,4845,49,950.0,0.0,0,,19.39,0.0,NEGATE
kitchen drawer mats,BROAD,4398,63,930.3,5607.64,8,16.59,14.77,12.7,TOP PERFORMER
interlocking play mat for kids,EXACT,14524,115,891.53,5682.85,3,15.69,7.75,2.61,TOP PERFORMER
sheets for kitchen shelves,EXACT,11320,55,876.97,1601.7,2,54.75,15.94,3.64,CUT BID 40%
"asin=""B09QMK3PC5""",TARGETING_EXPRESSION,2493,93,830.36,2632.38,2,31.54,8.93,2.15,MONITOR
cupboard liners for wardrobe,EXACT,27205,63,822.17,7135.6,6,11.52,13.05,9.52,TOP PERFORMER
blanket storage bags,EXACT,31723,72,799.94,1885.72,3,42.42,11.11,4.17,MONITOR
shelf liners for kitchen shelves,EXACT,27400,71,799.32,3858.46,4,20.72,11.26,5.63,TOP PERFORMER
"asin=""B07F3JN779""",TARGETING_EXPRESSION,5152,70,769.31,3423.81,1,22.47,10.99,1.43,MONITOR
gym matt for workout,EXACT,22581,153,753.05,3988.57,4,18.88,4.92,2.61,TOP PERFORMER
drawer mat roll,BROAD,2179,47,736.75,3185.6,5,23.13,15.68,10.64,TOP PERFORMER
anti slip mat for kitchen,BROAD,5149,57,725.51,800.85,1,90.59,12.73,1.75,CUT BID 40%
"asin=""B0D95SFFL9""",TARGETING_EXPRESSION,9958,114,708.69,2491.43,2,28.45,6.22,1.75,MONITOR
"asin=""B0DBDYX4W6""",TARGETING_EXPRESSION,7239,47,699.25,2700.0,3,25.9,14.88,6.38,MONITOR
baby mats for floor,PHRASE,12631,113,693.25,1704.76,2,40.67,6.13,1.77,MONITOR
"asin=""B0DDXRHF54""",TARGETING_EXPRESSION,10505,64,671.46,2008.5,6,33.43,10.49,9.38,MONITOR
floor mat for kids,PHRASE,10234,104,637.92,852.38,1,74.84,6.13,0.96,CUT BID 40%
gym floor mat,EXACT,19595,86,624.14,8061.91,2,7.74,7.26,2.33,TOP PERFORMER
"category=""3404665031"" brand=""19565296031""",TARGETING_EXPRESSION,16378,115,622.92,5836.19,3,10.67,5.42,2.61,TOP PERFORMER
"asin=""B0F4JZF3LP""",TARGETING_EXPRESSION,5372,83,612.39,8715.25,2,7.03,7.38,2.41,TOP PERFORMER
play mat for babies 0 to 3 years thick,PHRASE,9397,100,611.75,0.0,0,,6.12,0.0,NEGATE
"asin=""B0F4JWGTJX""",TARGETING_EXPRESSION,4657,71,581.8,1989.52,1,29.24,8.19,1.41,MONITOR
"asin=""B0CRHQLDZG""",TARGETING_EXPRESSION,3754,76,549.28,28927.61,6,1.9,7.23,7.89,TOP PERFORMER
kids play mat for floor,EXACT,8400,57,511.24,0.0,0,,8.97,0.0,NEGATE
shelf liner,BROAD,2021,35,480.61,2266.11,3,21.21,13.73,8.57,TOP PERFORMER
foam mat for kids,EXACT,5071,50,472.33,1654.29,1,28.55,9.45,2.0,MONITOR
"asin=""B0822G97QZ""",TARGETING_EXPRESSION,2057,55,459.5,9885.72,2,4.65,8.35,3.64,TOP PERFORMER
shelf liners,BROAD,2526,34,448.95,6407.63,9,7.01,13.2,26.47,TOP PERFORMER
shelf mats for cupboards,BROAD,2264,37,437.58,6061.03,8,7.22,11.83,21.62,TOP PERFORMER
"asin=""B0D9HCMCCY""",TARGETING_EXPRESSION,6441,49,427.73,1640.95,1,26.07,8.73,2.04,MONITOR
cloth storage bags for clothes,EXACT,4913,27,406.0,1866.67,3,21.75,15.04,11.11,TOP PERFORMER
shelf liners for kitchen shelves,BROAD,6273,30,392.22,1601.7,2,24.49,13.07,6.67,TOP PERFORMER
kitchen liners for shelves,EXACT,9609,33,390.54,669.49,2,58.33,11.83,6.06,CUT BID 40%
gym carpet,EXACT,2828,40,386.32,2833.33,1,13.63,9.66,2.5,MONITOR
clothes storage box,PHRASE,5614,22,383.64,0.0,0,,17.44,0.0,NEGATE
"asin=""B0784MK315""",TARGETING_EXPRESSION,5448,43,370.87,4419.05,2,8.39,8.62,4.65,TOP PERFORMER
"asin=""B0G1YX6GXV""",TARGETING_EXPRESSION,2419,30,363.93,1842.86,4,19.75,12.13,13.33,TOP PERFORMER
kids play mats for floor,PHRASE,4977,56,359.14,2557.14,3,14.04,6.41,5.36,TOP PERFORMER
cupboard mats roll for wardrobe,EXACT,3465,25,355.17,1465.25,2,24.24,14.21,8.0,TOP PERFORMER
gym floor mats for heavy workout,EXACT,12740,53,350.92,6247.62,3,5.62,6.62,5.66,TOP PERFORMER
"asin=""B08642G3SR""",TARGETING_EXPRESSION,5560,52,347.3,2952.38,1,11.76,6.68,1.92,MONITOR
baby floor mat for crawling big size,EXACT,3212,58,341.23,1703.81,1,20.03,5.88,1.72,MONITOR
"asin=""B0F228RM13""",TARGETING_EXPRESSION,4538,58,324.52,5389.52,3,6.02,5.6,5.17,TOP PERFORMER
transparent plastic sheet,EXACT,6324,32,319.42,0.0,0,,9.98,0.0,NEGATE
sheets for wardrobe,EXACT,3123,14,312.21,4084.75,4,7.64,22.3,28.57,TOP PERFORMER
blanket cover bag,EXACT,3934,30,310.75,0.0,0,,10.36,0.0,NEGATE
storage bags for clothes,PHRASE,5115,31,305.32,0.0,0,,9.85,0.0,NEGATE
clothes storage box,EXACT,6129,26,299.14,471.43,1,63.45,11.51,3.85,CUT BID 40%
cupboard sheets for wardrobe,EXACT,3618,24,273.65,800.85,1,34.17,11.4,4.17,MONITOR
"asin=""B0G1YHH1ZN""",TARGETING_EXPRESSION,1360,24,261.72,942.86,2,27.76,10.91,8.33,MONITOR
eva mats for kids play school,PHRASE,310,22,257.71,0.0,0,,11.71,0.0,NEGATE
exercise mat for home workout,EXACT,5337,24,249.29,0.0,0,,10.39,0.0,NEGATE
"asin=""B0B5N7S9QJ""",TARGETING_EXPRESSION,1208,22,247.6,1640.95,1,15.09,11.25,4.55,MONITOR
xtrim gym mat for floor,EXACT,9937,34,235.27,7535.24,1,3.12,6.92,2.94,MONITOR
signatron gym mat for floor,PHRASE,8373,32,234.18,0.0,0,,7.32,0.0,NEGATE
"asin=""B07X33Q9DT""",TARGETING_EXPRESSION,1281,34,227.96,10723.81,3,2.13,6.7,8.82,TOP PERFORMER
drawer mat roll,EXACT,3857,16,220.0,2076.27,4,10.6,13.75,25.0,TOP PERFORMER
transparent sheet for kitchen,EXACT,6652,22,219.74,0.0,0,,9.99,0.0,NEGATE
wardrobe sheets,EXACT,826,15,213.8,669.5,2,31.93,14.25,13.33,MONITOR
"asin=""B0G1YT2S5N""",TARGETING_EXPRESSION,1204,16,206.63,452.38,1,45.68,12.91,6.25,MONITOR
sheet for cupboard shelves,EXACT,5339,20,201.25,0.0,0,,10.06,0.0,NEGATE
"asin=""B0B6T6D2YV""",TARGETING_EXPRESSION,3129,23,198.67,4969.52,2,4.0,8.64,8.7,TOP PERFORMER
"asin=""B0F2TCMVWC""",TARGETING_EXPRESSION,4335,25,197.34,6061.91,3,3.26,7.89,12.0,TOP PERFORMER
"asin=""B0BTTCZBLV""",TARGETING_EXPRESSION,1716,22,195.67,470.34,3,41.6,8.89,13.64,MONITOR
kitchen rack sheets,EXACT,4299,18,192.99,334.75,1,57.65,10.72,5.56,CUT BID 40%
"category=""1380092031"" brand=""19565296031""",TARGETING_EXPRESSION,843,20,191.11,1465.26,2,13.04,9.56,10.0,TOP PERFORMER
complements,TARGETING_EXPRESSION_PREDEFINED,6104,68,170.75,0.0,0,,2.51,0.0,NEGATE
"asin=""B0DB68L9V9""",TARGETING_EXPRESSION,1624,19,161.92,3979.04,1,4.07,8.52,5.26,MONITOR
baby floor mat for crawling big size,PHRASE,2310,26,160.56,852.38,1,18.84,6.18,3.85,MONITOR
"asin=""B081T9SFWY""",TARGETING_EXPRESSION,1420,10,143.76,2295.24,3,6.26,14.38,30.0,TOP PERFORMER
kitchen shelf liners,EXACT,2785,11,138.15,0.0,0,,12.56,0.0,NEGATE
wardrobe mats for shelves,BROAD,470,14,137.46,800.85,1,17.16,9.82,7.14,MONITOR
wardrobe mats for shelves,EXACT,727,8,136.74,0.0,0,,17.09,0.0,NEGATE
plastic rolls for shelves,EXACT,4455,11,134.61,0.0,0,,12.24,0.0,NEGATE
playmate for baby,PHRASE,1511,23,131.83,1704.76,2,7.73,5.73,8.7,TOP PERFORMER
under bed storage organizer box,EXACT,8012,10,128.96,471.43,1,27.36,12.9,10.0,MONITOR
blanket storage bags,PHRASE,2395,7,123.84,0.0,0,,17.69,0.0,NEGATE
cupboard sheets for wardrobe,BROAD,2773,12,121.62,0.0,0,,10.13,0.0,NEGATE
"asin=""B0B6VDFMJT""",TARGETING_EXPRESSION,1425,20,116.31,1376.2,1,8.45,5.82,5.0,MONITOR
"asin=""B0DB64HBWW""",TARGETING_EXPRESSION,747,13,112.1,10346.65,2,1.08,8.62,15.38,TOP PERFORMER
"asin=""B0BN5PJ762""",TARGETING_EXPRESSION,488,12,110.72,3700.01,2,2.99,9.23,16.67,TOP PERFORMER
shelf liners for wardrobe,EXACT,128,7,108.56,385.59,1,28.15,15.51,14.29,MONITOR
easy home gym mat for floor,EXACT,5474,14,107.5,0.0,0,,7.68,0.0,NEGATE
kids play mats for floor,EXACT,3416,22,106.52,0.0,0,,4.84,0.0,NEGATE
"asin=""B0B5RVR7ZF""",TARGETING_EXPRESSION,2894,15,106.33,0.0,0,,7.09,0.0,NEGATE
"asin=""B0D9C1KYDY""",TARGETING_EXPRESSION,1237,13,103.49,7700.01,1,1.34,7.96,7.69,MONITOR
"asin=""B0F2TCYXL3""",TARGETING_EXPRESSION,2377,11,100.45,0.0,0,,9.13,0.0,NEGATE
gym flooring,EXACT,1174,13,99.61,4185.71,1,2.38,7.66,7.69,MONITOR
playing mat for kids,EXACT,4690,20,94.4,2566.67,1,3.68,4.72,5.0,MONITOR
"asin=""B0B6TFQ66M""",TARGETING_EXPRESSION,822,9,90.1,0.0,0,,10.01,0.0,NEGATE
"asin=""B0G1YY2HNF""",TARGETING_EXPRESSION,318,7,90.0,471.43,1,19.09,12.86,14.29,MONITOR
plastic roll for kitchen shelf,BROAD,412,8,87.43,2402.55,1,3.64,10.93,12.5,MONITOR
baby floor mat,EXACT,540,10,87.15,0.0,0,,8.71,0.0,NEGATE
"asin=""B0D9HBWG5P""",TARGETING_EXPRESSION,2741,16,83.35,0.0,0,,5.21,0.0,NEGATE
baby mat,EXACT,906,11,82.45,0.0,0,,7.5,0.0,NEGATE
cupboard paper roll for shelf,BROAD,620,6,82.08,669.49,2,12.26,13.68,33.33,TOP PERFORMER
baby playing mat,EXACT,1752,13,81.71,0.0,0,,6.29,0.0,NEGATE
"asin=""B0G25TVVSX""",TARGETING_EXPRESSION,335,6,79.27,471.43,1,16.81,13.21,16.67,MONITOR
storage bags for clothes large,PHRASE,778,8,79.21,1876.2,1,4.22,9.9,12.5,MONITOR
wardrobe sheets for shelves,BROAD,653,7,76.35,6135.6,3,1.24,10.91,42.86,TOP PERFORMER
playmat for kids,PHRASE,1391,12,73.63,0.0,0,,6.14,0.0,NEGATE
shelf sheets for cupboards,BROAD,850,6,68.27,0.0,0,,11.38,0.0,NEGATE
eva mats for kids play school,EXACT,1918,13,67.61,0.0,0,,5.2,0.0,NEGATE
kids mats for floor,EXACT,1004,7,65.77,1989.52,1,3.31,9.4,14.29,MONITOR
kitchen self sheet waterproof,EXACT,1613,8,64.39,0.0,0,,8.05,0.0,NEGATE
"asin=""B0D9HDFSH3""",TARGETING_EXPRESSION,672,7,62.57,0.0,0,,8.94,0.0,NEGATE
"asin=""B0G1YWZH29""",TARGETING_EXPRESSION,648,7,59.29,1800.0,1,3.29,8.47,14.29,MONITOR
rubber floor tiles,EXACT,465,5,58.54,0.0,0,,11.71,0.0,NEGATE
kitchen mats for shelves,EXACT,1184,5,57.11,800.85,1,7.13,11.42,20.0,MONITOR
"asin=""B0G1YKGMTJ""",TARGETING_EXPRESSION,381,6,54.55,0.0,0,,9.09,0.0,NEGATE
"asin=""B0BN5Y4WW6""",TARGETING_EXPRESSION,161,6,53.4,838.99,2,6.36,8.9,33.33,TOP PERFORMER
"asin=""B0G1YQXMCY""",TARGETING_EXPRESSION,400,5,52.75,452.38,1,11.66,10.55,20.0,MONITOR
"asin=""B0CRHST3YZ""",TARGETING_EXPRESSION,521,9,52.7,3619.04,2,1.46,5.86,22.22,TOP PERFORMER
"asin=""B0716SW4WP""",TARGETING_EXPRESSION,490,5,51.79,0.0,0,,10.36,0.0,NEGATE
"asin=""B07C6F5LSV""",TARGETING_EXPRESSION,109,5,48.68,0.0,0,,9.74,0.0,MONITOR
"asin=""B0B7P6KL7V""",TARGETING_EXPRESSION,427,3,48.29,0.0,0,,16.1,0.0,MONITOR
easyhome gym mats,PHRASE,490,3,48.12,0.0,0,,16.04,0.0,MONITOR
foam mats for floor for kids,EXACT,169,4,46.92,0.0,0,,11.73,0.0,MONITOR
"asin=""B0BN5NZCGH""",TARGETING_EXPRESSION,308,5,43.4,655.08,1,6.63,8.68,20.0,MONITOR
nasmodo gym mat for floor,EXACT,1456,6,42.83,0.0,0,,7.14,0.0,MONITOR
shelf covers for shelves,EXACT,1073,5,39.12,0.0,0,,7.82,0.0,MONITOR
"asin=""B0B6VCW2VK""",TARGETING_EXPRESSION,512,4,38.57,0.0,0,,9.64,0.0,MONITOR
"asin=""B07MNKGT2P""",TARGETING_EXPRESSION,2055,5,37.1,0.0,0,,7.42,0.0,MONITOR
"asin=""B08SVVX49Q""",TARGETING_EXPRESSION,267,4,36.07,0.0,0,,9.02,0.0,MONITOR
kitchen trolley mats,BROAD,202,3,36.07,800.85,1,4.5,12.02,33.33,MONITOR
cupboard sheets,BROAD,200,4,35.38,1500.0,1,2.36,8.85,25.0,MONITOR
foam mat,EXACT,759,7,35.3,0.0,0,,5.04,0.0,MONITOR
easy home gym mat for floor,PHRASE,38,3,34.75,0.0,0,,11.58,0.0,MONITOR
baby play mat for 0 to 2 years,EXACT,1129,5,34.73,0.0,0,,6.95,0.0,MONITOR
"asin=""B0G6KVT2Q1""",TARGETING_EXPRESSION,104,4,34.65,942.86,1,3.67,8.66,25.0,MONITOR
"asin=""B0B6T6X5DJ""",TARGETING_EXPRESSION,1002,4,34.38,0.0,0,,8.6,0.0,MONITOR
xtrim gym floor mat,PHRASE,1187,5,34.38,0.0,0,,6.88,0.0,MONITOR
gym equipment mat,EXACT,763,3,33.15,0.0,0,,11.05,0.0,MONITOR
"asin=""B08QYNR3PQ""",TARGETING_EXPRESSION,328,5,33.1,0.0,0,,6.62,0.0,MONITOR
kitchen sheets for shelves,EXACT,1385,4,31.78,0.0,0,,7.95,0.0,MONITOR
kitchen liners for shelves,PHRASE,988,4,31.21,0.0,0,,7.8,0.0,MONITOR
"asin=""B0BTT8W68J""",TARGETING_EXPRESSION,418,3,30.15,0.0,0,,10.05,0.0,MONITOR
mat for baby,EXACT,618,5,29.99,0.0,0,,6.0,0.0,MONITOR
cupboard sheets,EXACT,799,3,26.81,0.0,0,,8.94,0.0,MONITOR
play mats for kids,EXACT,313,5,26.54,0.0,0,,5.31,0.0,MONITOR
"asin=""B0D9HBF469""",TARGETING_EXPRESSION,446,2,25.94,0.0,0,,12.97,0.0,MONITOR
"asin=""B0BN631JD4""",TARGETING_EXPRESSION,172,3,25.54,0.0,0,,8.51,0.0,MONITOR
"asin=""B08QRKNM93""",TARGETING_EXPRESSION,115,4,25.1,0.0,0,,6.28,0.0,MONITOR
"asin=""B0D9D3X4WF""",TARGETING_EXPRESSION,542,5,24.3,1989.52,1,1.22,4.86,20.0,MONITOR
"asin=""B08K4BRCBD""",TARGETING_EXPRESSION,157,2,23.51,0.0,0,,11.76,0.0,MONITOR
"asin=""B09JG4V2PH""",TARGETING_EXPRESSION,225,2,21.01,0.0,0,,10.51,0.0,MONITOR
interlocking play mat for kids,PHRASE,276,5,20.53,0.0,0,,4.11,0.0,MONITOR
"asin=""B0D9HBVW5C""",TARGETING_EXPRESSION,928,2,20.43,0.0,0,,10.21,0.0,MONITOR
sheet for kitchen shelves,BROAD,166,2,20.36,0.0,0,,10.18,0.0,MONITOR
"asin=""B0CHP3QFMY""",TARGETING_EXPRESSION,697,3,19.75,0.0,0,,6.58,0.0,MONITOR
"asin=""B0BN5MLSSR""",TARGETING_EXPRESSION,110,2,18.92,0.0,0,,9.46,0.0,MONITOR
shelf sheets for kitchen shelves,EXACT,1348,2,18.07,0.0,0,,9.04,0.0,MONITOR
"asin=""B0BN5P232F""",TARGETING_EXPRESSION,299,2,17.05,0.0,0,,8.53,0.0,MONITOR
liltoes interlocking play mat,EXACT,323,2,14.24,0.0,0,,7.12,0.0,MONITOR
kitchen shelf sheets waterproof,EXACT,947,1,12.19,0.0,0,,12.19,0.0,MONITOR
kids tiles mat,EXACT,249,3,12.11,0.0,0,,4.04,0.0,MONITOR
"asin=""B0G1YNMTPK""",TARGETING_EXPRESSION,264,1,11.81,0.0,0,,11.81,0.0,MONITOR
"asin=""B09YP2YQK1""",TARGETING_EXPRESSION,650,1,11.73,567.8,1,2.07,11.73,100.0,MONITOR
"asin=""B0CRHSF42W""",TARGETING_EXPRESSION,271,4,11.5,0.0,0,,2.88,0.0,MONITOR
play mat for babies 0 to 3 years thick,EXACT,131,2,11.41,0.0,0,,5.71,0.0,MONITOR
cupboard shelf liners,EXACT,156,1,10.83,0.0,0,,10.83,0.0,MONITOR
shelf covers for cupboard,BROAD,217,1,10.63,0.0,0,,10.63,0.0,MONITOR
cloth storage bags for clothes,PHRASE,249,1,10.45,0.0,0,,10.45,0.0,MONITOR
"asin=""B07D8VNG2G""",TARGETING_EXPRESSION,56,1,10.06,0.0,0,,10.06,0.0,MONITOR
"asin=""B0BN5P7KMN""",TARGETING_EXPRESSION,82,1,9.46,0.0,0,,9.46,0.0,MONITOR
"asin=""B0CRHT9SMJ""",TARGETING_EXPRESSION,306,1,9.18,0.0,0,,9.18,0.0,MONITOR
"asin=""B0CRHT6DCM""",TARGETING_EXPRESSION,3,1,8.92,0.0,0,,8.92,0.0,MONITOR
shelf covers,BROAD,176,1,8.63,0.0,0,,8.63,0.0,MONITOR
"asin=""B08QRYZ9Z6""",TARGETING_EXPRESSION,60,1,8.41,0.0,0,,8.41,0.0,MONITOR
"asin=""B0G6B473NJ""",TARGETING_EXPRESSION,76,1,8.41,284.76,1,2.95,8.41,100.0,MONITOR
under bed storage organizer box,PHRASE,38,1,8.4,0.0,0,,8.4,0.0,MONITOR
kids foam mats for floor,EXACT,367,1,8.37,0.0,0,,8.37,0.0,MONITOR
"asin=""B012TWTUMU""",TARGETING_EXPRESSION,56,1,8.04,0.0,0,,8.04,0.0,MONITOR
"asin=""B07HL4KWZ1""",TARGETING_EXPRESSION,228,1,7.28,0.0,0,,7.28,0.0,MONITOR
baby play mat for 0 to 5 years,EXACT,72,1,6.16,0.0,0,,6.16,0.0,MONITOR
"asin=""B08QRKCF1S""",TARGETING_EXPRESSION,113,1,4.94,0.0,0,,4.94,0.0,MONITOR
baby mattress for 0 to 2 years,PHRASE,106,1,3.38,0.0,0,,3.38,0.0,MONITOR
"asin=""B003RD7ENS""",TARGETING_EXPRESSION,21,1,2.66,0.0,0,,2.66,0.0,MONITOR
"asin=""B08QND92PJ""",TARGETING_EXPRESSION,16,1,1.0,10557.15,1,0.01,1.0,100.0,MONITOR
kitchen shelf mats roll,EXACT,215,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0BN5NTWZR""",TARGETING_EXPRESSION,13,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0BN5P55SW""",TARGETING_EXPRESSION,14,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0BN5QKNF7""",TARGETING_EXPRESSION,34,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0BN5QXPVX""",TARGETING_EXPRESSION,2,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0BTTD6CK7""",TARGETING_EXPRESSION,63,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0D9HD2S7M""",TARGETING_EXPRESSION,318,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0D9HB8LTP""",TARGETING_EXPRESSION,154,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B09MY5K3SH""",TARGETING_EXPRESSION,8,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B09SHT7RDB""",TARGETING_EXPRESSION,6,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0BGHCFLYJ""",TARGETING_EXPRESSION,10,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B01DAOOAW6""",TARGETING_EXPRESSION,69,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B01JBA5LIA""",TARGETING_EXPRESSION,0,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0B8H9BQZQ""",TARGETING_EXPRESSION,13,0,0.0,0.0,0,,0,0,MONITOR
liltoes kids play mat,PHRASE,9,0,0.0,0.0,0,,0,0,MONITOR
liltoes interlocking play mat,PHRASE,118,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0F26R22CJ""",TARGETING_EXPRESSION,1,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0D9BZMBY4""",TARGETING_EXPRESSION,199,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B07MHCHFMN""",TARGETING_EXPRESSION,19,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B09P2WCBZK""",TARGETING_EXPRESSION,0,0,0.0,0.0,0,,0,0,MONITOR
shelf liners,EXACT,19,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B08W3CF11M""",TARGETING_EXPRESSION,22,0,0.0,0.0,0,,0,0,MONITOR
anti slip mat for kitchen,EXACT,56,0,0.0,0.0,0,,0,0,MONITOR
shelf mat roll,EXACT,121,0,0.0,0.0,0,,0,0,MONITOR
kitchen liners for shelves,BROAD,9,0,0.0,0.0,0,,0,0,MONITOR
kitchen shelf sheets,BROAD,8,0,0.0,0.0,0,,0,0,MONITOR
kitchen cabinet sheets,EXACT,1672,0,0.0,0.0,0,,0,0,MONITOR
